"﻿Breed","Citysize","Gender","Neutralization","Age","Weight","Color","Adoption","Disease","Behavior","B_D"
"Non-Sporting","Metropolis","Male","Yes",3,6,"Brown","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",11,4,"Brown","No","No","Positive","PosNo"
"Non-Sporting","Big City","Female","No",8,9,"White&Black","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",2,6.5,"Black&Brown","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","No",7,5,"Etc","No","Yes","Negative","NegYes"
"Terrier","Medium City","Male","Yes",4,3.6,"White","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",1,1,"White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Female","No",1,1,"Brown","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",3,3.5,"White&Brown","Yes","No","Positive","PosNo"
"Herding","Big City","Male","No",2,35,"White&Black","Yes","No","Neutral","NeuNo"
"Sporting","Small City","Male","No",3,12,"White","No","Yes","Negative","NegYes"
"Toy","Medium City","Female","No",8,3,"White","Yes","No","Negative","NegNo"
"Toy","Medium City","Female","No",9,3.3,"White","No","Yes","Negative","NegYes"
"Hound","Medium City","Male","No",3,6.1,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Metropolis","Male","No",2,3.6,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",3,8.8,"Brown","No","No","Positive","PosNo"
"Mix","Big City","Female","No",2,20,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,3.5,"Black&White&Brown","No","No","Positive","PosNo"
"Toy","Big City","Male","Yes",3,3,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",1,2.4,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,16.5,"Black","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,12.4,"White","No","No","Negative","NegNo"
"Toy","Medium City","Male","No",3,4.2,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,12.55,"Black","No","No","Negative","NegNo"
"Mix","Small City","Male","No",1,2.7,"Black&White&Brown","No","Yes","Neutral","NeuYes"
"Mix","Small City","Female","No",3,6,"Black","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",2,2,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,22,"Brown","No","Yes","Negative","NegYes"
"Miscellaneous","Small City","Female","No",1,2,"Brown","No","Yes","Neutral","NeuYes"
"Mix","Big City","Male","No",4,5.6,"White&Brown","Yes","Yes","Neutral","NeuYes"
"Non-Sporting","Small City","Male","No",3,3.2,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",1,2.5,"Brown","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","No",1,3,"Black","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","Yes",10,2.7,"White","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",4,25,"White&Black","No","No","Positive","PosNo"
"Mix","Big City","Female","No",9,29,"White","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",3,14,"Brown","No","No","Positive","PosNo"
"Hound","Big City","Female","No",5,5,"Black&Brown","No","No","Positive","PosNo"
"Mix","Big City","Male","No",1,2,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,5,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",3,6,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",4,15.5,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,12.3,"Brown","No","No","Negative","NegNo"
"Sporting","Big City","Female","No",4,12,"Black","Yes","No","Negative","NegNo"
"Mix","Small City","Female","No",1,4,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,5.5,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",5,3.8,"White","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","Yes",5,6.4,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",6,17,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,4,"Black","No","Yes","Negative","NegYes"
"Mix","Small City","Female","No",5,12,"White","No","No","Positive","PosNo"
"Mix","Big City","Male","No",1,2.5,"Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,5.2,"White","Yes","No","Positive","PosNo"
"Mix","Metropolis","Male","No",4,15,"Brown","No","Yes","Negative","NegYes"
"Herding","Medium City","Male","No",3,7,"White&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,13,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,2.6,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,3,"Black","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,0.7,"White","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1,"White","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,10,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,3.13,"White","Yes","No","Neutral","NeuNo"
"Toy","Medium City","Male","No",2,2,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,5,"White","No","No","Positive","PosNo"
"Toy","Small City","Female","No",4,1.5,"White","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",3,8.2,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,6.75,"Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",1,3,"Black&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",4,8,"Black","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,2.9,"White","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",4,17,"White","No","No","Positive","PosNo"
"Mix","Small City","Male","No",4,6,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",9,3,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",4,3,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,3.8,"Black&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,7.2,"White&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",2,2.8,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",3,20,"White&Black","Yes","No","Positive","PosNo"
"Toy","Big City","Female","No",2,2.2,"White","Yes","No","Neutral","NeuNo"
"Non-Sporting","Big City","Male","No",5,3.01,"Black","No","No","Negative","NegNo"
"Mix","Big City","Male","No",1,3.83,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,15.3,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,2,"Black","No","No","Positive","PosNo"
"Toy","Medium City","Female","No",8,2.3,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,6.6,"White","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","No",5,4,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2,"Black&Brown","No","No","Positive","PosNo"
"Sporting","Small City","Female","No",4,10,"White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","Yes",4,18.9,"White","No","Yes","Neutral","NeuYes"
"Non-Sporting","Medium City","Male","No",4,5.6,"Black","Yes","Yes","Negative","NegYes"
"Miscellaneous","Medium City","Male","No",1,8.5,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,2,"Brown","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",10,4,"White","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",5,7.45,"White&Black","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","Yes",3,2.3,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",3,10,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Small City","Female","No",1,5.2,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,20,"Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",9,3.5,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",8,8.5,"White&Black","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",10,6,"Black","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,4,"White","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",4,23,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,1,"Brown","No","Yes","Negative","NegYes"
"Sporting","Big City","Female","No",2,14.3,"White&Brown","Yes","No","Neutral","NeuNo"
"Miscellaneous","Small City","Female","No",6,15,"White","No","No","Negative","NegNo"
"Mix","Small City","Female","No",3,4,"White&Brown","No","No","Negative","NegNo"
"Mix","Big City","Female","No",1,1,"Etc","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Female","No",3,6.5,"Brown","No","No","Negative","NegNo"
"Miscellaneous","Small City","Male","No",2,25,"White","No","No","Negative","NegNo"
"Non-Sporting","Big City","Male","No",4,7,"Brown","No","No","Positive","PosNo"
"Toy","Medium City","Female","No",3,4,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",1,0.5,"White&Black","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,0.7,"White&Brown","No","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",6,15,"Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","No",1,6,"White","No","No","Neutral","NeuNo"
"Mix","Small City","Male","Yes",2,4.5,"White&Black","No","Yes","Neutral","NeuYes"
"Mix","Small City","Male","No",2,7,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",2,8,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,3.3,"Black&Brown","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",2,4,"White&Black","Yes","No","Positive","PosNo"
"Terrier","Medium City","Female","No",11,5.9,"Brown","No","No","Neutral","NeuNo"
"Miscellaneous","Big City","Male","Yes",3,7,"White","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,4,"White","No","Yes","Negative","NegYes"
"Non-Sporting","Big City","Female","No",3,8,"Brown","Yes","Yes","Neutral","NeuYes"
"Toy","Metropolis","Male","No",2,3.6,"White","Yes","No","Neutral","NeuNo"
"Mix","Big City","Female","No",1,3.9,"Black&White&Brown","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","Yes",6,10,"White&Black","Yes","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,6.8,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,0.7,"White","No","Yes","Negative","NegYes"
"Toy","Big City","Male","No",7,3.2,"Brown","Yes","No","Positive","PosNo"
"Toy","Medium City","Female","No",7,3.8,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,3.5,"Black&White&Brown","No","No","Neutral","NeuNo"
"Non-Sporting","Medium City","Female","No",8,5,"White&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Female","No",10,2.4,"White","Yes","No","Negative","NegNo"
"Mix","Big City","Male","No",4,6.67,"Black","No","No","Negative","NegNo"
"Toy","Big City","Male","Yes",11,2.6,"Black&White&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,0.1,"White&Brown","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1.6,"Black&White&Brown","No","Yes","Neutral","NeuYes"
"Mix","Metropolis","Male","No",2,3,"Black","No","No","Positive","PosNo"
"Hound","Medium City","Female","No",2,12,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2,"White&Brown","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",2,11,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,2.1,"White","No","Yes","Negative","NegYes"
"Miscellaneous","Metropolis","Female","No",3,22,"White","No","No","Negative","NegNo"
"Working","Medium City","Male","No",2,10,"White&Black","Yes","No","Positive","PosNo"
"Toy","Big City","Male","Yes",6,9,"White","No","Yes","Neutral","NeuYes"
"Mix","Big City","Female","No",2,5,"Black&White&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Female","No",4,4,"White","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","Yes",6,4.8,"Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",2,4.13,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,5,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,3,"Black","No","No","Positive","PosNo"
"Mix","Small City","Male","No",3,19,"White","No","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",2,3.1,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,17,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",5,5.8,"White&Brown","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Female","No",4,16,"Black","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Male","No",6,5.4,"Black&White&Brown","No","No","Negative","NegNo"
"Working","Metropolis","Male","No",2,20,"Brown","Yes","Yes","Neutral","NeuYes"
"Miscellaneous","Medium City","Male","Yes",6,8,"White","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","Yes",4,4.4,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","Yes",1,10,"White","No","Yes","Neutral","NeuYes"
"Mix","Big City","Female","No",4,4,"White","Yes","No","Positive","PosNo"
"Toy","Big City","Male","No",5,1.8,"White","Yes","No","Neutral","NeuNo"
"Non-Sporting","Medium City","Female","No",2,2.5,"Black","No","No","Positive","PosNo"
"Mix","Small City","Female","No",1,3,"White&Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Male","No",6,4.25,"Brown","No","No","Negative","NegNo"
"Mix","Big City","Male","No",1,10,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.5,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,4.5,"White","No","No","Negative","NegNo"
"Miscellaneous","Medium City","Male","No",1,1.5,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",4,5.5,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",1,1,"White&Black","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,5,"White&Brown","No","No","Neutral","NeuNo"
"Non-Sporting","Medium City","Male","No",3,7.8,"Black","Yes","No","Positive","PosNo"
"Miscellaneous","Small City","Female","No",4,7,"White","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1.5,"White&Black","No","Yes","Negative","NegYes"
"Non-Sporting","Medium City","Female","Yes",4,3.7,"Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",1,2,"White","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2,"White&Brown","Yes","Yes","Negative","NegYes"
"Toy","Big City","Male","No",6,2.5,"White","No","No","Negative","NegNo"
"Non-Sporting","Big City","Male","Yes",11,3,"Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",3,5,"Brown","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",3,27,"White","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2.4,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",5,12.2,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,1.8,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,10,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",11,9,"White&Brown","No","Yes","Negative","NegYes"
"Non-Sporting","Big City","Male","No",6,4.66,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,17.6,"Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,3,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",5,11.45,"White","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","No",6,4,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,13,"White","No","Yes","Negative","NegYes"
"Mix","Metropolis","Male","No",1,2,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",11,4.8,"Brown","No","Yes","Negative","NegYes"
"Mix","Big City","Male","No",1,8,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",2,10,"Brown","No","No","Negative","NegNo"
"Mix","Big City","Male","No",1,25,"White&Brown","No","No","Negative","NegNo"
"Sporting","Medium City","Male","No",4,35,"Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",2,4,"Black&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,7.4,"Black&White&Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",7,14,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2,"Black&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,10,"White&Brown","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",13,2,"Brown","No","Yes","Negative","NegYes"
"Toy","Big City","Male","No",4,2.3,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,3,"White","No","No","Positive","PosNo"
"Toy","Metropolis","Female","No",4,2.5,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,9.5,"Brown","No","No","Negative","NegNo"
"Miscellaneous","Medium City","Male","No",3,15,"White","Yes","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,3,"White","Yes","No","Negative","NegNo"
"Mix","Small City","Female","No",1,4,"White","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,4,"White&Brown","Yes","No","Neutral","NeuNo"
"Terrier","Medium City","Female","No",9,2.3,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,4,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,5,"Black","No","No","Positive","PosNo"
"Mix","Medium City","Male","Yes",4,4.54,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,6,"White&Brown","No","No","Positive","PosNo"
"Toy","Big City","Male","No",5,6,"Black&Brown","Yes","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","Yes",3,9.6,"White","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",1,1.4,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.3,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2.3,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,3,"White","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",5,4,"Brown","No","No","Positive","PosNo"
"Miscellaneous","Medium City","Male","Yes",4,9,"White","No","No","Positive","PosNo"
"Mix","Big City","Female","No",3,8.9,"White&Brown","No","No","Negative","NegNo"
"Mix","Small City","Male","No",1,2,"White&Black","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,5,"White","No","No","Positive","PosNo"
"Toy","Big City","Male","No",7,2.2,"Black&Brown","Yes","No","Negative","NegNo"
"Mix","Big City","Male","No",1,2.7,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",4,5,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,0.5,"White","Yes","No","Negative","NegNo"
"Miscellaneous","Small City","Male","No",4,6,"White","Yes","No","Positive","PosNo"
"Terrier","Medium City","Female","No",1,2.3,"Black","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","No",6,3.6,"White","No","No","Negative","NegNo"
"Mix","Small City","Male","No",3,17,"Black","No","Yes","Negative","NegYes"
"Toy","Medium City","Male","Yes",7,6.5,"White","No","Yes","Negative","NegYes"
"Miscellaneous","Small City","Male","No",5,16,"Black","Yes","No","Positive","PosNo"
"Terrier","Medium City","Male","No",2,8.6,"White","Yes","No","Negative","NegNo"
"Mix","Big City","Male","No",3,3.2,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",2,9.4,"Brown","No","No","Positive","PosNo"
"Mix","Big City","Female","No",3,3,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",5,4.3,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,6,"Black&Brown","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Female","No",1,7.3,"White&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Female","Yes",3,3.4,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,0.8,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",2,5,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2,"Black&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,11,"White","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","Yes",2,4,"Brown","Yes","No","Positive","PosNo"
"Non-Sporting","Small City","Female","No",7,3,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",4,13,"White&Brown","No","No","Neutral","NeuNo"
"Mix","Big City","Male","No",2,20,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",2,20,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,9.8,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,6,"Brown","No","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","No",1,4.6,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,1.5,"White","No","No","Positive","PosNo"
"Mix","Big City","Female","No",2,15,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,3.8,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,1,"Etc","Yes","No","Positive","PosNo"
"Miscellaneous","Small City","Male","No",1,2.8,"White","No","Yes","Neutral","NeuYes"
"Toy","Big City","Male","No",7,1.8,"White","Yes","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",3,13,"White","No","No","Negative","NegNo"
"Mix","Small City","Female","No",1,4,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","Yes",11,3,"White&Black","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",1,1,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,7,"Black","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Male","No",3,12.45,"White&Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,3.3,"Black","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",2,4.1,"White&Brown","No","Yes","Neutral","NeuYes"
"Non-Sporting","Medium City","Male","No",4,5,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",3,12.5,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",3,19,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",3,3.8,"White&Brown","No","No","Negative","NegNo"
"Mix","Metropolis","Male","No",1,4,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2.75,"White&Brown","No","No","Positive","PosNo"
"Non-Sporting","Big City","Male","No",1,6.2,"White","No","Yes","Neutral","NeuYes"
"Mix","Medium City","Male","No",3,15,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,2,"Etc","Yes","No","Positive","PosNo"
"Toy","Medium City","Male","Yes",2,5,"Etc","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",3,11,"Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",3,5,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,1,"Black&Brown","No","No","Positive","PosNo"
"Toy","Medium City","Male","No",2,3,"Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,18.1,"White","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",2,15,"Black&Brown","No","No","Positive","PosNo"
"Toy","Medium City","Female","No",16,2.8,"White","No","Yes","Negative","NegYes"
"Mix","Big City","Male","No",1,1,"Black&Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",1,3,"White","No","Yes","Negative","NegYes"
"Toy","Big City","Female","No",1,2,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2.5,"Black&Brown","No","No","Positive","PosNo"
"Mix","Big City","Female","No",3,9,"White","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,2.51,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",3,9,"White&Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Male","No",2,8.4,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",3,12.7,"White&Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",1,6.7,"White","No","No","Neutral","NeuNo"
"Mix","Big City","Male","No",1,3,"White&Brown","No","Yes","Negative","NegYes"
"Mix","Medium City","Male","No",6,15,"White","No","No","Negative","NegNo"
"Mix","Big City","Male","No",1,4.5,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,1.7,"White&Black","No","No","Neutral","NeuNo"
"Mix","Medium City","Male","No",1,11.2,"Black","No","No","Negative","NegNo"
"Mix","Medium City","Female","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",1,2,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Female","No",2,2.2,"Brown","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",3,18,"Brown","No","No","Positive","PosNo"
"Sporting","Medium City","Female","No",1,6,"Black","Yes","No","Negative","NegNo"
"Non-Sporting","Big City","Female","No",2,11,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",2,2,"Black","Yes","No","Positive","PosNo"
"Mix","Medium City","Female","No",4,21,"Brown","No","No","Negative","NegNo"
"Mix","Medium City","Male","No",1,4.9,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",1,0.8,"Brown","No","No","Neutral","NeuNo"
"Mix","Small City","Male","No",1,4.8,"Black","Yes","No","Neutral","NeuNo"
"Miscellaneous","Big City","Female","No",4,15,"White","No","No","Neutral","NeuNo"
"Non-Sporting","Medium City","Male","No",4,4.7,"Brown","Yes","No","Neutral","NeuNo"
"Mix","Medium City","Female","No",1,3.2,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",1,13,"Brown","No","Yes","Negative","NegYes"
"Mix","Small City","Male","No",1,1.52,"Brown","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",2,3,"Black&Brown","No","No","Negative","NegNo"
"Toy","Medium City","Male","No",1,1.5,"Black&Brown","Yes","Yes","Negative","NegYes"
"Non-Sporting","Big City","Male","Yes",2,3,"Brown","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2.5,"White","No","No","Positive","PosNo"
"Non-Sporting","Medium City","Male","No",9,4,"White","No","No","Positive","PosNo"
"Mix","Medium City","Male","No",6,30,"Black","Yes","No","Negative","NegNo"
"Non-Sporting","Medium City","Male","No",3,4.4,"Brown","No","No","Neutral","NeuNo"
"Toy","Medium City","Female","No",2,4.5,"White","No","Yes","Negative","NegYes"
"Mix","Medium City","Female","No",6,4,"White&Black","No","Yes","Neutral","NeuYes"
"Toy","Big City","Female","No",2,2.1,"White","Yes","No","Positive","PosNo"
"Mix","Big City","Female","No",3,7,"White","Yes","No","Positive","PosNo"
"Mix","Small City","Female","No",5,15,"White","No","No","Positive","PosNo"
"Mix","Metropolis","Female","No",2,3.3,"Black&White&Brown","No","No","Positive","PosNo"
"Mix","Small City","Male","No",1,2,"White&Black","Yes","No","Positive","PosNo"
"Mix","Small City","Male","No",3,5,"White&Brown","Yes","No","Positive","PosNo"
